q,n,m,time_in_ns,total_mem_in_byte
134217728,2,22,186004.40,410712.80
134217728,4,26,141508.20,555902.40
134217728,8,34,564300.00,804112.00
134217728,16,50,1068550.00,1349572.80
134217728,32,82,2033700.00,3188755.20
134217728,64,146,8311274.90,6473644.80
134217728,128,274,32798075.10,21603396.80
134217728,256,530,153526987.50,80227591.20
134217728,512,1042,1137061354.20,314009484.80
134217728,1024,2066,10898934095.70,1231126358.40
